,Pos,Equipe,Pts,J,V,E,D,GP,GC,SG,Classificação ou descenso
0,1,Palmeiras (C),80,38,24,8,6,62,32,+30,Fase de grupos da Copa Libertadores de 2017[a]
1,2,Santos,71,38,22,5,11,59,35,+24,Fase de grupos da Copa Libertadores de 2017[a]
2,3,Flamengo,71,38,20,11,7,52,35,+17,Fase de grupos da Copa Libertadores de 2017[a]
3,4,Atlético Mineiro,62[b],38,17,11,10,61,53,+8,Fase de grupos da Copa Libertadores de 2017[a]
4,5,Botafogo,59,38,17,8,13,43,39,+4,Segunda fase da Copa Libertadores de 2017
5,6,Atlético Paranaense,57,38,17,6,15,38,32,+6,Segunda fase da Copa Libertadores de 2017
6,7,Corinthians,55,38,15,10,13,48,42,+6,Copa Sul-Americana de 2017
7,8,Ponte Preta,53,38,15,8,15,48,52,−4,Copa Sul-Americana de 2017
8,9,Grêmio,53,38,14,11,13,41,44,−3,Fase de grupos da Copa Libertadores de 2017[a]
9,10,São Paulo,52,38,14,10,14,44,36,+8,Copa Sul-Americana de 2017
10,11,Chapecoense,52[b],38,13,13,12,49,56,−7,Fase de grupos da Copa Libertadores de 2017[a]
11,12,Cruzeiro,51,38,14,9,15,48,49,−1,Copa Sul-Americana de 2017
12,13,Fluminense,50,38,13,11,14,45,45,0,Copa Sul-Americana de 2017
13,14,Sport,47,38,13,8,17,49,55,−6,Copa Sul-Americana de 2017
14,15,Coritiba,46,38,11,13,14,41,42,−1,
15,16,Vitória,45,38,12,9,17,51,53,−2,
16,17,Internacional (R),43,38,11,10,17,35,41,−6,Rebaixados à Série B de 2017
17,18,Figueirense (R),37,38,8,13,17,30,50,−20,Rebaixados à Série B de 2017
18,19,Santa Cruz (R),28[c],38,8,7,23,45,69,−24,Rebaixados à Série B de 2017
19,20,América Mineiro (R),28,38,7,7,24,23,58,−35,Rebaixados à Série B de 2017
