,Pos,Equipevde,Pts,J,V,E,D,GP,GC,SG,Classificação ou descenso
0,1,Flamengo (C),90,38,28,6,4,86,37,+49,Fase de grupos da Copa Libertadores de 2020[a]
1,2,Santos,74,38,22,8,8,60,33,+27,Fase de grupos da Copa Libertadores de 2020[a]
2,3,Palmeiras,74,38,21,11,6,61,32,+29,Fase de grupos da Copa Libertadores de 2020[a]
3,4,Grêmio,65,38,19,8,11,64,39,+25,Fase de grupos da Copa Libertadores de 2020[a]
4,5,Athletico Paranaense,64,38,18,10,10,51,32,+19,Fase de grupos da Copa Libertadores de 2020[a]
5,6,São Paulo,63,38,17,12,9,39,30,+9,Fase de grupos da Copa Libertadores de 2020[a]
6,7,Internacional,57,38,16,9,13,44,39,+5,Segunda fase da Copa Libertadores de 2020
7,8,Corinthians,56,38,14,14,10,42,34,+8,Segunda fase da Copa Libertadores de 2020
8,9,Fortaleza,53,38,15,8,15,50,49,+1,Copa Sul-Americana de 2020
9,10,Goiás,52,38,15,7,16,46,64,−18,Copa Sul-Americana de 2020
10,11,Bahia,49,38,12,13,13,44,43,+1,Copa Sul-Americana de 2020
11,12,Vasco da Gama,49,38,12,13,13,39,45,−6,Copa Sul-Americana de 2020
12,13,Atlético Mineiro,48,38,13,9,16,45,49,−4,Copa Sul-Americana de 2020
13,14,Fluminense,46,38,12,10,16,38,46,−8,Copa Sul-Americana de 2020
14,15,Botafogo,43,38,13,4,21,31,45,−14,
15,16,Ceará,39,38,10,9,19,36,41,−5,
16,17,Cruzeiro,36,38,7,15,16,27,46,−19,Rebaixados à Série B de 2020
17,18,CSA,32,38,8,8,22,24,58,−34,Rebaixados à Série B de 2020
18,19,Chapecoense,32,38,7,11,20,31,52,−21,Rebaixados à Série B de 2020
19,20,Avaí,20,38,3,11,24,18,62,−44,Rebaixados à Série B de 2020
