,Pos,Equipe,Pts,J,V,E,D,GP,GC,SG,Classificação ou descenso
0,1,Cruzeiro (C),80,38,24,8,6,67,38,+29,Segunda fase da Copa Libertadores de 2015
1,2,São Paulo,70,38,20,10,8,59,40,+19,Segunda fase da Copa Libertadores de 2015
2,3,Internacional,69,38,21,6,11,53,41,+12,Segunda fase da Copa Libertadores de 2015
3,4,Corinthians,69,38,19,12,7,49,31,+18,Primeira fase da Copa Libertadores de 2015
4,5,Atlético Mineiro,62,38,17,11,10,51,38,+13,Segunda fase da Copa Libertadores de 2015[a]
5,6,Fluminense,61,38,17,10,11,61,42,+19,
6,7,Grêmio,61,38,17,10,11,36,24,+12,
7,8,Atlético Paranaense,54,38,15,9,14,43,42,+1,
8,9,Santos,53,38,15,8,15,42,35,+7,
9,10,Flamengo,52,38,14,10,14,46,47,−1,
10,11,Sport,52,38,14,10,14,36,46,−10,
11,12,Goiás,47,38,13,8,17,38,40,−2,
12,13,Figueirense,47,38,13,8,17,37,47,−10,
13,14,Coritiba,47,38,12,11,15,42,45,−3,
14,15,Chapecoense,43,38,11,10,17,39,44,−5,
15,16,Palmeiras,40,38,11,7,20,34,59,−25,
16,17,Vitória (R),38,38,10,8,20,37,54,−17,Rebaixados à Série B de 2015
17,18,Bahia (R),37,38,9,10,19,31,43,−12,Rebaixados à Série B de 2015
18,19,Botafogo (R),34,38,9,7,22,31,48,−17,Rebaixados à Série B de 2015
19,20,Criciúma (R),32,38,7,11,20,28,56,−28,Rebaixados à Série B de 2015
