,Pos,Equipevde,Pts,J,V,E,D,GP,GC,SG,Classificação ou descenso
0,1,Palmeiras (C),70,38,20,10,8,64,33,+31,Fase de grupos da Copa Libertadores de 2024
1,2,Grêmio,68,38,21,5,12,63,56,+7,Fase de grupos da Copa Libertadores de 2024
2,3,Atlético Mineiro,66,38,19,9,10,52,32,+20,Fase de grupos da Copa Libertadores de 2024
3,4,Flamengo,66,38,19,9,10,56,42,+14,Fase de grupos da Copa Libertadores de 2024
4,5,Botafogo,64,38,18,10,10,58,37,+21,Segunda fase da Copa Libertadores de 2024
5,6,Red Bull Bragantino,62,38,17,11,10,49,35,+14,Segunda fase da Copa Libertadores de 2024
6,7,Fluminense,56,38,16,8,14,51,47,+4,Fase de grupos da Copa Libertadores de 2024[a]
7,8,Athletico Paranaense,56,38,14,14,10,51,43,+8,Fase de grupos da Copa Sul-Americana de 2024
8,9,Internacional,55,38,15,10,13,46,45,+1,Fase de grupos da Copa Sul-Americana de 2024
9,10,Fortaleza,54,38,15,9,14,45,44,+1,Fase de grupos da Copa Sul-Americana de 2024
10,11,São Paulo,53,38,14,11,13,40,38,+2,Fase de grupos da Copa Libertadores de 2024[b]
11,12,Cuiabá,51,38,14,9,15,40,39,+1,Fase de grupos da Copa Sul-Americana de 2024
12,13,Corinthians,50,38,12,14,12,47,48,−1,Fase de grupos da Copa Sul-Americana de 2024
13,14,Cruzeiro,47,38,11,14,13,35,32,+3,Fase de grupos da Copa Sul-Americana de 2024
14,15,Vasco da Gama,45,38,12,9,17,41,51,−10,
15,16,Bahia,44,38,12,8,18,50,53,−3,
16,17,Santos,43,38,11,10,17,39,64,−25,Rebaixados à Série B de 2024
17,18,Goiás,38,38,9,11,18,36,53,−17,Rebaixados à Série B de 2024
18,19,Coritiba,30,38,8,6,24,41,73,−32,Rebaixados à Série B de 2024
19,20,América Mineiro,24,38,5,9,24,42,81,−39,Rebaixados à Série B de 2024
