,Pos,Equipevde,Pts,J,V,E,D,GP,GC,SG,Classificação ou descenso
0,1,Palmeiras (C),81,38,23,12,3,66,27,+39,Fase de grupos da Copa Libertadores de 2023[a]
1,2,Internacional,73,38,20,13,5,58,31,+27,Fase de grupos da Copa Libertadores de 2023[a]
2,3,Fluminense,70,38,21,7,10,63,41,+22,Fase de grupos da Copa Libertadores de 2023[a]
3,4,Corinthians,65,38,18,11,9,44,36,+8,Fase de grupos da Copa Libertadores de 2023[a]
4,5,Flamengo,62,38,18,8,12,60,39,+21,Fase de grupos da Copa Libertadores de 2023[a]
5,6,Athletico Paranaense,58,38,16,10,12,48,48,0,Fase de grupos da Copa Libertadores de 2023[a]
6,7,Atlético Mineiro,58,38,15,13,10,45,37,+8,Segunda fase da Copa Libertadores de 2023
7,8,Fortaleza,55,38,15,10,13,46,39,+7,Segunda fase da Copa Libertadores de 2023
8,9,São Paulo,54,38,13,15,10,55,42,+13,Fase de grupos da Copa Sul-Americana de 2023
9,10,América Mineiro,53,38,15,8,15,40,40,0,Fase de grupos da Copa Sul-Americana de 2023
10,11,Botafogo,53,38,15,8,15,41,43,−2,Fase de grupos da Copa Sul-Americana de 2023
11,12,Santos,47,38,12,11,15,44,41,+3,Fase de grupos da Copa Sul-Americana de 2023
12,13,Goiás,46,38,11,13,14,40,53,−13,Fase de grupos da Copa Sul-Americana de 2023
13,14,Red Bull Bragantino,44,38,11,11,16,49,59,−10,Fase de grupos da Copa Sul-Americana de 2023
14,15,Coritiba,42,38,12,6,20,39,60,−21,
15,16,Cuiabá,41,38,10,11,17,31,42,−11,
16,17,Ceará,37,38,7,16,15,34,41,−7,Rebaixados à Série B de 2023
17,18,Atlético Goianiense,36,38,8,12,18,39,57,−18,Rebaixados à Série B de 2023
18,19,Avaí,35,38,9,8,21,34,60,−26,Rebaixados à Série B de 2023
19,20,Juventude,22,38,3,13,22,29,69,−40,Rebaixados à Série B de 2023
