rodada,data,mandante,visitante,vencedor
1,15/04/2006,Juventude,Parana,Juventude
1,15/04/2006,Vasco,Internacional,-
1,16/04/2006,Sao Paulo,Flamengo,Sao Paulo
1,16/04/2006,Gremio,Corinthians,Gremio
1,16/04/2006,Botafogo-RJ,Fortaleza,Botafogo-RJ
1,16/04/2006,Sao Caetano,Cruzeiro,Sao Caetano
1,16/04/2006,Palmeiras,Ponte Preta,Ponte Preta
1,16/04/2006,Santa Cruz,Figueirense,-
1,16/04/2006,Athletico-PR,Fluminense,Fluminense
1,16/04/2006,Goias,Santos,-
2,22/04/2006,Corinthians,Sao Caetano,Corinthians
2,22/04/2006,Fluminense,Goias,Fluminense
2,22/04/2006,Figueirense,Palmeiras,Figueirense
2,23/04/2006,Internacional,Santa Cruz,Internacional
2,23/04/2006,Santos,Athletico-PR,Santos
2,23/04/2006,Ponte Preta,Vasco,Vasco
2,23/04/2006,Flamengo,Juventude,Flamengo
2,23/04/2006,Cruzeiro,Gremio,Cruzeiro
2,23/04/2006,Parana,Botafogo-RJ,-
2,23/04/2006,Fortaleza,Sao Paulo,Fortaleza
3,29/04/2006,Fortaleza,Sao Caetano,Fortaleza
3,29/04/2006,Botafogo-RJ,Athletico-PR,Athletico-PR
3,29/04/2006,Sao Paulo,Santa Cruz,Sao Paulo
3,30/04/2006,Ponte Preta,Corinthians,Ponte Preta
3,30/04/2006,Internacional,Flamengo,Internacional
3,30/04/2006,Parana,Gremio,Parana
3,30/04/2006,Palmeiras,Santos,Santos
3,30/04/2006,Vasco,Fluminense,-
3,30/04/2006,Juventude,Goias,-
3,30/04/2006,Figueirense,Cruzeiro,Cruzeiro
4,06/05/2006,Santa Cruz,Ponte Preta,-
4,06/05/2006,Fluminense,Parana,Fluminense
4,06/05/2006,Santos,Fortaleza,Santos
4,07/05/2006,Gremio,Vasco,Vasco
4,07/05/2006,Sao Caetano,Palmeiras,Sao Caetano
4,07/05/2006,Athletico-PR,Internacional,Internacional
4,07/05/2006,Corinthians,Sao Paulo,Sao Paulo
4,07/05/2006,Flamengo,Botafogo-RJ,Flamengo
4,07/05/2006,Goias,Figueirense,Goias
4,07/05/2006,Cruzeiro,Juventude,Cruzeiro
5,13/05/2006,Sao Caetano,Juventude,Juventude
5,13/05/2006,Botafogo-RJ,Gremio,-
5,13/05/2006,Santos,Ponte Preta,Santos
5,14/05/2006,Santa Cruz,Athletico-PR,Athletico-PR
5,14/05/2006,Internacional,Sao Paulo,Internacional
5,14/05/2006,Figueirense,Fluminense,Figueirense
5,14/05/2006,Palmeiras,Cruzeiro,-
5,14/05/2006,Flamengo,Fortaleza,-
5,14/05/2006,Parana,Corinthians,Corinthians
5,14/05/2006,Goias,Vasco,Goias
6,20/05/2006,Athletico-PR,Goias,Goias
6,20/05/2006,Fortaleza,Parana,-
6,20/05/2006,Internacional,Figueirense,Figueirense
6,20/05/2006,Sao Paulo,Sao Caetano,Sao Paulo
6,21/05/2006,Palmeiras,Santa Cruz,Palmeiras
6,21/05/2006,Cruzeiro,Flamengo,Cruzeiro
6,21/05/2006,Vasco,Corinthians,Corinthians
6,21/05/2006,Ponte Preta,Gremio,-
6,21/05/2006,Fluminense,Santos,Fluminense
6,21/05/2006,Juventude,Botafogo-RJ,Juventude
7,24/05/2006,Cruzeiro,Ponte Preta,Cruzeiro
7,24/05/2006,Parana,Figueirense,-
7,24/05/2006,Juventude,Santa Cruz,Juventude
7,24/05/2006,Sao Paulo,Palmeiras,Sao Paulo
7,24/05/2006,Sao Caetano,Athletico-PR,Sao Caetano
7,24/05/2006,Fortaleza,Fluminense,Fluminense
7,24/05/2006,Flamengo,Santos,-
7,25/05/2006,Botafogo-RJ,Vasco,Botafogo-RJ
7,25/05/2006,Gremio,Goias,Gremio
7,25/05/2006,Corinthians,Internacional,Internacional
8,27/05/2006,Athletico-PR,Juventude,Athletico-PR
8,27/05/2006,Figueirense,Fortaleza,-
8,27/05/2006,Ponte Preta,Parana,Parana
8,28/05/2006,Santos,Corinthians,Santos
8,28/05/2006,Internacional,Cruzeiro,-
8,28/05/2006,Santa Cruz,Botafogo-RJ,-
8,28/05/2006,Fluminense,Flamengo,Fluminense
8,28/05/2006,Palmeiras,Gremio,Gremio
8,28/05/2006,Goias,Sao Caetano,Goias
8,28/05/2006,Vasco,Sao Paulo,-
9,31/05/2006,Cruzeiro,Athletico-PR,-
9,31/05/2006,Fortaleza,Vasco,-
9,31/05/2006,Juventude,Ponte Preta,Ponte Preta
9,31/05/2006,Sao Caetano,Internacional,-
9,31/05/2006,Sao Paulo,Fluminense,Sao Paulo
9,31/05/2006,Gremio,Santos,Gremio
9,31/05/2006,Flamengo,Palmeiras,Flamengo
9,01/06/2006,Botafogo-RJ,Figueirense,Figueirense
9,01/06/2006,Parana,Santa Cruz,Parana
9,01/06/2006,Corinthians,Goias,Goias
10,03/06/2006,Fluminense,Internacional,Internacional
10,03/06/2006,Fortaleza,Cruzeiro,Cruzeiro
10,03/06/2006,Gremio,Sao Caetano,-
10,04/06/2006,Corinthians,Flamengo,Flamengo
10,04/06/2006,Vasco,Santa Cruz,Vasco
10,04/06/2006,Ponte Preta,Figueirense,Ponte Preta
10,04/06/2006,Athletico-PR,Palmeiras,Athletico-PR
10,04/06/2006,Goias,Parana,Parana
10,04/06/2006,Juventude,Sao Paulo,-
10,04/06/2006,Santos,Botafogo-RJ,-
11,12/07/2006,Internacional,Ponte Preta,Internacional
11,12/07/2006,Athletico-PR,Fortaleza,-
11,12/07/2006,Fluminense,Juventude,Fluminense
11,12/07/2006,Sao Paulo,Gremio,Sao Paulo
11,12/07/2006,Figueirense,Santos,Figueirense
11,12/07/2006,Sao Caetano,Botafogo-RJ,-
11,12/07/2006,Cruzeiro,Corinthians,Cruzeiro
11,13/07/2006,Santa Cruz,Goias,Santa Cruz
11,13/07/2006,Flamengo,Parana,Parana
11,13/07/2006,Palmeiras,Vasco,Palmeiras
12,15/07/2006,Botafogo-RJ,Ponte Preta,Botafogo-RJ
12,15/07/2006,Sao Paulo,Figueirense,Sao Paulo
12,16/07/2006,Gremio,Fluminense,-
12,16/07/2006,Palmeiras,Corinthians,Palmeiras
12,16/07/2006,Sao Caetano,Santos,Sao Caetano
12,16/07/2006,Cruzeiro,Goias,-
12,16/07/2006,Fortaleza,Santa Cruz,Santa Cruz
12,16/07/2006,Parana,Athletico-PR,Parana
12,16/07/2006,Juventude,Internacional,Juventude
12,16/07/2006,Flamengo,Vasco,Vasco
13,22/07/2006,Figueirense,Gremio,Figueirense
13,22/07/2006,Parana,Cruzeiro,Parana
13,22/07/2006,Corinthians,Fortaleza,-
13,22/07/2006,Fluminense,Sao Caetano,-
13,23/07/2006,Ponte Preta,Sao Paulo,Sao Paulo
13,23/07/2006,Vasco,Athletico-PR,Vasco
13,23/07/2006,Santa Cruz,Flamengo,Santa Cruz
13,23/07/2006,Santos,Juventude,Santos
13,23/07/2006,Internacional,Botafogo-RJ,-
13,23/07/2006,Goias,Palmeiras,Palmeiras
14,29/07/2006,Juventude,Figueirense,Juventude
14,29/07/2006,Sao Caetano,Ponte Preta,-
14,29/07/2006,Palmeiras,Parana,Palmeiras
14,30/07/2006,Sao Paulo,Santos,Santos
14,30/07/2006,Santa Cruz,Corinthians,Santa Cruz
14,30/07/2006,Vasco,Cruzeiro,Vasco
14,30/07/2006,Athletico-PR,Flamengo,Athletico-PR
14,30/07/2006,Goias,Fortaleza,-
14,30/07/2006,Internacional,Gremio,-
14,30/07/2006,Fluminense,Botafogo-RJ,-
15,05/08/2006,Figueirense,Sao Caetano,-
15,05/08/2006,Gremio,Juventude,Gremio
15,05/08/2006,Corinthians,Athletico-PR,Corinthians
15,05/08/2006,Flamengo,Goias,Flamengo
15,06/08/2006,Santos,Internacional,Santos
15,06/08/2006,Botafogo-RJ,Sao Paulo,-
15,06/08/2006,Parana,Vasco,Parana
15,06/08/2006,Ponte Preta,Fluminense,Ponte Preta
15,06/08/2006,Cruzeiro,Santa Cruz,-
15,06/08/2006,Fortaleza,Palmeiras,-
16,12/08/2006,Juventude,Vasco,-
16,12/08/2006,Sao Caetano,Santa Cruz,Sao Caetano
16,12/08/2006,Corinthians,Figueirense,Figueirense
16,12/08/2006,Flamengo,Ponte Preta,-
16,13/08/2006,Botafogo-RJ,Palmeiras,Palmeiras
16,13/08/2006,Gremio,Athletico-PR,Gremio
16,13/08/2006,Cruzeiro,Fluminense,Fluminense
16,13/08/2006,Fortaleza,Internacional,Internacional
16,13/08/2006,Sao Paulo,Goias,Sao Paulo
16,13/08/2006,Parana,Santos,-
17,16/08/2006,Ponte Preta,Fortaleza,Fortaleza
17,16/08/2006,Santa Cruz,Gremio,Gremio
17,16/08/2006,Vasco,Sao Caetano,Sao Caetano
17,16/08/2006,Goias,Botafogo-RJ,-
17,16/08/2006,Figueirense,Flamengo,-
17,16/08/2006,Fluminense,Corinthians,Corinthians
17,17/08/2006,Santos,Cruzeiro,Santos
17,17/08/2006,Palmeiras,Juventude,-
18,19/08/2006,Ponte Preta,Goias,Ponte Preta
18,19/08/2006,Flamengo,Gremio,Flamengo
18,20/08/2006,Fluminense,Santa Cruz,-
18,20/08/2006,Santos,Vasco,Vasco
18,20/08/2006,Fortaleza,Juventude,Fortaleza
18,20/08/2006,Cruzeiro,Sao Paulo,-
18,20/08/2006,Figueirense,Athletico-PR,-
18,20/08/2006,Parana,Sao Caetano,Parana
18,20/08/2006,Internacional,Palmeiras,-
18,20/08/2006,Corinthians,Botafogo-RJ,Corinthians
19,23/08/2006,Athletico-PR,Ponte Preta,Athletico-PR
19,23/08/2006,Goias,Internacional,-
19,23/08/2006,Palmeiras,Fluminense,Palmeiras
19,23/08/2006,Botafogo-RJ,Cruzeiro,Botafogo-RJ
19,23/08/2006,Santa Cruz,Santos,-
19,23/08/2006,Juventude,Corinthians,-
19,23/08/2006,Sao Caetano,Flamengo,-
19,24/08/2006,Gremio,Fortaleza,Gremio
19,24/08/2006,Sao Paulo,Parana,Sao Paulo
19,24/08/2006,Vasco,Figueirense,Vasco
20,26/08/2006,Fluminense,Athletico-PR,Athletico-PR
20,26/08/2006,Santos,Goias,Santos
20,26/08/2006,Cruzeiro,Sao Caetano,Cruzeiro
20,27/08/2006,Flamengo,Sao Paulo,-
20,27/08/2006,Corinthians,Gremio,Gremio
20,27/08/2006,Internacional,Vasco,Vasco
20,27/08/2006,Parana,Juventude,Juventude
20,27/08/2006,Ponte Preta,Palmeiras,-
20,27/08/2006,Figueirense,Santa Cruz,Figueirense
20,27/08/2006,Fortaleza,Botafogo-RJ,Botafogo-RJ
21,30/08/2006,Gremio,Cruzeiro,Gremio
21,30/08/2006,Goias,Fluminense,Goias
21,30/08/2006,Santa Cruz,Internacional,Internacional
21,30/08/2006,Palmeiras,Figueirense,-
21,30/08/2006,Juventude,Flamengo,Juventude
21,30/08/2006,Sao Caetano,Corinthians,Corinthians
21,30/08/2006,Athletico-PR,Santos,Athletico-PR
21,31/08/2006,Botafogo-RJ,Parana,Botafogo-RJ
21,31/08/2006,Sao Paulo,Fortaleza,-
21,31/08/2006,Vasco,Ponte Preta,-
22,02/09/2006,Cruzeiro,Figueirense,-
22,02/09/2006,Flamengo,Internacional,Internacional
22,03/09/2006,Santos,Palmeiras,Santos
22,03/09/2006,Gremio,Parana,Gremio
22,03/09/2006,Sao Caetano,Fortaleza,-
22,03/09/2006,Athletico-PR,Botafogo-RJ,Botafogo-RJ
22,03/09/2006,Goias,Juventude,Goias
22,03/09/2006,Fluminense,Vasco,-
22,03/09/2006,Santa Cruz,Sao Paulo,Sao Paulo
22,03/09/2006,Corinthians,Ponte Preta,Corinthians
23,09/09/2006,Ponte Preta,Santa Cruz,Ponte Preta
23,09/09/2006,Vasco,Gremio,-
23,09/09/2006,Palmeiras,Sao Caetano,Palmeiras
23,10/09/2006,Juventude,Cruzeiro,Juventude
23,10/09/2006,Sao Paulo,Corinthians,-
23,10/09/2006,Parana,Fluminense,Parana
23,10/09/2006,Figueirense,Goias,-
23,10/09/2006,Internacional,Athletico-PR,Internacional
23,10/09/2006,Botafogo-RJ,Flamengo,Flamengo
23,10/09/2006,Fortaleza,Santos,-
24,16/09/2006,Athletico-PR,Santa Cruz,Athletico-PR
24,16/09/2006,Vasco,Goias,-
24,16/09/2006,Corinthians,Parana,Corinthians
24,17/09/2006,Cruzeiro,Palmeiras,Cruzeiro
24,17/09/2006,Sao Paulo,Internacional,Sao Paulo
24,17/09/2006,Gremio,Botafogo-RJ,Gremio
24,17/09/2006,Juventude,Sao Caetano,Juventude
24,17/09/2006,Fluminense,Figueirense,Fluminense
24,17/09/2006,Ponte Preta,Santos,Ponte Preta
24,17/09/2006,Fortaleza,Flamengo,Flamengo
25,20/09/2006,Gremio,Ponte Preta,Gremio
25,20/09/2006,Figueirense,Internacional,Figueirense
25,20/09/2006,Botafogo-RJ,Juventude,Botafogo-RJ
25,20/09/2006,Parana,Fortaleza,Parana
25,20/09/2006,Goias,Athletico-PR,-
25,20/09/2006,Santos,Fluminense,-
25,20/09/2006,Sao Caetano,Sao Paulo,Sao Paulo
25,20/09/2006,Corinthians,Vasco,-
25,21/09/2006,Flamengo,Cruzeiro,Flamengo
25,21/09/2006,Santa Cruz,Palmeiras,Santa Cruz
26,23/09/2006,Fluminense,Fortaleza,Fortaleza
26,23/09/2006,Athletico-PR,Sao Caetano,Athletico-PR
26,24/09/2006,Santos,Flamengo,Santos
26,24/09/2006,Palmeiras,Sao Paulo,Palmeiras
26,24/09/2006,Figueirense,Parana,Parana
26,24/09/2006,Internacional,Corinthians,-
26,24/09/2006,Santa Cruz,Juventude,Santa Cruz
26,24/09/2006,Ponte Preta,Cruzeiro,Cruzeiro
26,24/09/2006,Vasco,Botafogo-RJ,-
26,24/09/2006,Goias,Gremio,Goias
17,30/09/2006,Internacional,Parana,Internacional
17,30/09/2006,Athletico-PR,Sao Paulo,-
27,04/10/2006,Fortaleza,Figueirense,-
27,04/10/2006,Juventude,Athletico-PR,Juventude
27,04/10/2006,Parana,Ponte Preta,Parana
27,04/10/2006,Flamengo,Fluminense,Flamengo
27,04/10/2006,Gremio,Palmeiras,Gremio
27,04/10/2006,Sao Caetano,Goias,Goias
27,04/10/2006,Sao Paulo,Vasco,Sao Paulo
27,05/10/2006,Botafogo-RJ,Santa Cruz,Botafogo-RJ
27,05/10/2006,Corinthians,Santos,Santos
27,05/10/2006,Cruzeiro,Internacional,Cruzeiro
28,07/10/2006,Ponte Preta,Juventude,Ponte Preta
28,07/10/2006,Vasco,Fortaleza,Vasco
28,07/10/2006,Fluminense,Sao Paulo,Sao Paulo
28,08/10/2006,Palmeiras,Flamengo,Palmeiras
28,08/10/2006,Santa Cruz,Parana,Parana
28,08/10/2006,Athletico-PR,Cruzeiro,-
28,08/10/2006,Internacional,Sao Caetano,Internacional
28,08/10/2006,Goias,Corinthians,Goias
28,08/10/2006,Santos,Gremio,Santos
28,08/10/2006,Figueirense,Botafogo-RJ,Figueirense
29,14/10/2006,Cruzeiro,Fortaleza,-
29,14/10/2006,Sao Paulo,Juventude,Sao Paulo
29,14/10/2006,Botafogo-RJ,Santos,Botafogo-RJ
29,14/10/2006,Sao Caetano,Gremio,Gremio
29,15/10/2006,Parana,Goias,Parana
29,15/10/2006,Flamengo,Corinthians,Flamengo
29,15/10/2006,Internacional,Fluminense,Internacional
29,15/10/2006,Figueirense,Ponte Preta,Figueirense
29,15/10/2006,Palmeiras,Athletico-PR,-
29,15/10/2006,Santa Cruz,Vasco,Vasco
30,18/10/2006,Vasco,Palmeiras,Vasco
30,21/10/2006,Goias,Santa Cruz,Goias
30,21/10/2006,Santos,Figueirense,Santos
30,21/10/2006,Ponte Preta,Internacional,Internacional
30,22/10/2006,Gremio,Sao Paulo,-
30,22/10/2006,Parana,Flamengo,Flamengo
30,22/10/2006,Fortaleza,Athletico-PR,Athletico-PR
30,22/10/2006,Corinthians,Cruzeiro,Corinthians
30,22/10/2006,Botafogo-RJ,Sao Caetano,Botafogo-RJ
30,22/10/2006,Juventude,Fluminense,-
31,25/10/2006,Corinthians,Palmeiras,Corinthians
31,26/10/2006,Vasco,Flamengo,Vasco
31,26/10/2006,Fluminense,Gremio,Gremio
31,26/10/2006,Internacional,Juventude,Internacional
31,26/10/2006,Santa Cruz,Fortaleza,Fortaleza
31,28/10/2006,Athletico-PR,Parana,Athletico-PR
31,28/10/2006,Figueirense,Sao Paulo,Sao Paulo
31,28/10/2006,Ponte Preta,Botafogo-RJ,Botafogo-RJ
31,28/10/2006,Goias,Cruzeiro,Cruzeiro
31,28/10/2006,Santos,Sao Caetano,Santos
32,01/11/2006,Athletico-PR,Vasco,Athletico-PR
32,01/11/2006,Palmeiras,Goias,Goias
32,01/11/2006,Flamengo,Santa Cruz,-
32,01/11/2006,Gremio,Figueirense,Figueirense
32,01/11/2006,Fortaleza,Corinthians,Corinthians
32,01/11/2006,Juventude,Santos,Juventude
32,01/11/2006,Sao Caetano,Fluminense,-
32,02/11/2006,Botafogo-RJ,Internacional,Internacional
32,02/11/2006,Sao Paulo,Ponte Preta,-
32,02/11/2006,Cruzeiro,Parana,-
33,04/11/2006,Figueirense,Juventude,Figueirense
33,04/11/2006,Flamengo,Athletico-PR,Flamengo
33,05/11/2006,Cruzeiro,Vasco,Cruzeiro
33,05/11/2006,Santos,Sao Paulo,Sao Paulo
33,05/11/2006,Ponte Preta,Sao Caetano,Sao Caetano
33,05/11/2006,Gremio,Internacional,Internacional
33,05/11/2006,Fortaleza,Goias,Goias
33,05/11/2006,Corinthians,Santa Cruz,Corinthians
33,05/11/2006,Botafogo-RJ,Fluminense,Botafogo-RJ
33,05/11/2006,Parana,Palmeiras,Parana
34,08/11/2006,Vasco,Parana,Vasco
34,08/11/2006,Sao Caetano,Figueirense,Sao Caetano
34,08/11/2006,Juventude,Gremio,Gremio
34,08/11/2006,Palmeiras,Fortaleza,Palmeiras
34,08/11/2006,Internacional,Santos,-
34,08/11/2006,Athletico-PR,Corinthians,Corinthians
34,08/11/2006,Goias,Flamengo,Flamengo
34,09/11/2006,Fluminense,Ponte Preta,-
34,09/11/2006,Sao Paulo,Botafogo-RJ,Sao Paulo
34,09/11/2006,Santa Cruz,Cruzeiro,Santa Cruz
35,11/11/2006,Santos,Parana,Santos
35,11/11/2006,Internacional,Fortaleza,Internacional
35,11/11/2006,Vasco,Juventude,-
35,12/11/2006,Fluminense,Cruzeiro,Fluminense
35,12/11/2006,Figueirense,Corinthians,-
35,12/11/2006,Ponte Preta,Flamengo,Ponte Preta
35,12/11/2006,Goias,Sao Paulo,Sao Paulo
35,12/11/2006,Athletico-PR,Gremio,Gremio
35,12/11/2006,Palmeiras,Botafogo-RJ,Palmeiras
35,12/11/2006,Santa Cruz,Sao Caetano,Sao Caetano
36,18/11/2006,Gremio,Santa Cruz,Gremio
36,18/11/2006,Flamengo,Figueirense,Figueirense
36,18/11/2006,Corinthians,Fluminense,-
36,19/11/2006,Parana,Internacional,Parana
36,19/11/2006,Sao Caetano,Vasco,Vasco
36,19/11/2006,Juventude,Palmeiras,Juventude
36,19/11/2006,Sao Paulo,Athletico-PR,-
36,19/11/2006,Botafogo-RJ,Goias,-
36,19/11/2006,Cruzeiro,Santos,-
36,19/11/2006,Fortaleza,Ponte Preta,Fortaleza
37,26/11/2006,Botafogo-RJ,Corinthians,-
37,26/11/2006,Juventude,Fortaleza,-
37,26/11/2006,Gremio,Flamengo,Gremio
37,26/11/2006,Athletico-PR,Figueirense,Figueirense
37,26/11/2006,Sao Caetano,Parana,Parana
37,26/11/2006,Vasco,Santos,-
37,26/11/2006,Goias,Ponte Preta,Goias
37,26/11/2006,Sao Paulo,Cruzeiro,Sao Paulo
37,26/11/2006,Santa Cruz,Fluminense,Fluminense
37,26/11/2006,Palmeiras,Internacional,Internacional
38,02/12/2006,Internacional,Goias,Goias
38,02/12/2006,Flamengo,Sao Caetano,Flamengo
38,03/12/2006,Fluminense,Palmeiras,-
38,03/12/2006,Parana,Sao Paulo,-
38,03/12/2006,Figueirense,Vasco,-
38,03/12/2006,Cruzeiro,Botafogo-RJ,Cruzeiro
38,03/12/2006,Ponte Preta,Athletico-PR,-
38,03/12/2006,Corinthians,Juventude,Corinthians
38,03/12/2006,Fortaleza,Gremio,Fortaleza
38,03/12/2006,Santos,Santa Cruz,Santos
1,12/05/2007,Figueirense,Athletico-PR,Athletico-PR
1,12/05/2007,Sao Paulo,Goias,Sao Paulo
1,12/05/2007,Fluminense,Cruzeiro,-
1,13/05/2007,Flamengo,Palmeiras,Palmeiras
1,13/05/2007,Internacional,Botafogo-RJ,Botafogo-RJ
1,13/05/2007,Parana,Gremio,Parana
1,13/05/2007,Atletico-MG,Nautico,Atletico-MG
1,13/05/2007,Corinthians,Juventude,Corinthians
1,13/05/2007,America-RN,Vasco,Vasco
1,13/05/2007,Sport,Santos,Sport
2,19/05/2007,Juventude,Parana,Parana
2,19/05/2007,Athletico-PR,Internacional,Athletico-PR
2,19/05/2007,Santos,America-RN,America-RN
2,20/05/2007,Cruzeiro,Corinthians,Corinthians
2,20/05/2007,Goias,Flamengo,Flamengo
2,20/05/2007,Palmeiras,Figueirense,Palmeiras
2,20/05/2007,Botafogo-RJ,Atletico-MG,Botafogo-RJ
2,20/05/2007,Gremio,Fluminense,Gremio
2,20/05/2007,Nautico,Sao Paulo,Nautico
2,20/05/2007,Vasco,Sport,Vasco
3,26/05/2007,America-RN,Figueirense,Figueirense
3,26/05/2007,Corinthians,Atletico-MG,-
3,26/05/2007,Fluminense,Internacional,Fluminense
3,27/05/2007,Sao Paulo,Palmeiras,-
3,27/05/2007,Athletico-PR,Santos,Santos
3,27/05/2007,Gremio,Sport,Gremio
3,27/05/2007,Nautico,Vasco,-
3,27/05/2007,Cruzeiro,Parana,Parana
3,27/05/2007,Goias,Juventude,Goias
3,27/05/2007,Flamengo,Botafogo-RJ,-
4,02/06/2007,Atletico-MG,Athletico-PR,-
4,02/06/2007,Botafogo-RJ,Gremio,Botafogo-RJ
4,02/06/2007,Figueirense,Goias,Figueirense
4,03/06/2007,Santos,Corinthians,-
4,03/06/2007,Palmeiras,Cruzeiro,Cruzeiro
4,03/06/2007,Juventude,America-RN,Juventude
4,03/06/2007,Sport,Flamengo,-
4,03/06/2007,Parana,Sao Paulo,Sao Paulo
4,03/06/2007,Vasco,Fluminense,-
4,04/06/2007,Internacional,Nautico,Internacional
5,09/06/2007,Palmeiras,Botafogo-RJ,-
5,09/06/2007,Nautico,Parana,-
5,09/06/2007,Vasco,Gremio,Vasco
5,10/06/2007,Figueirense,Flamengo,Figueirense
5,10/06/2007,Fluminense,Sport,Fluminense
5,10/06/2007,America-RN,Corinthians,Corinthians
5,10/06/2007,Athletico-PR,Goias,Goias
5,10/06/2007,Sao Paulo,Atletico-MG,Atletico-MG
5,10/06/2007,Internacional,Santos,Internacional
5,10/06/2007,Cruzeiro,Juventude,Juventude
12,14/06/2007,Botafogo-RJ,Vasco,Botafogo-RJ
6,16/06/2007,Gremio,Cruzeiro,Cruzeiro
6,16/06/2007,Flamengo,Internacional,-
6,16/06/2007,Corinthians,Parana,-
6,17/06/2007,Atletico-MG,Figueirense,Atletico-MG
6,17/06/2007,Athletico-PR,Fluminense,-
6,17/06/2007,Sao Paulo,Vasco,Sao Paulo
6,17/06/2007,Goias,Palmeiras,Goias
6,17/06/2007,Botafogo-RJ,Nautico,Botafogo-RJ
6,17/06/2007,Sport,America-RN,-
6,17/06/2007,Juventude,Santos,Santos
7,23/06/2007,Parana,Sport,Parana
7,23/06/2007,Juventude,Figueirense,-
7,24/06/2007,Santos,Sao Paulo,Sao Paulo
7,24/06/2007,Cruzeiro,Atletico-MG,Cruzeiro
7,24/06/2007,Palmeiras,Athletico-PR,Athletico-PR
7,24/06/2007,America-RN,Fluminense,Fluminense
7,24/06/2007,Internacional,Gremio,Gremio
7,24/06/2007,Nautico,Goias,Goias
8,28/06/2007,Figueirense,Sao Paulo,-
8,28/06/2007,Sport,Nautico,Sport
8,30/06/2007,Santos,Gremio,-
8,30/06/2007,Cruzeiro,Vasco,Cruzeiro
8,30/06/2007,America-RN,Goias,Goias
8,30/06/2007,Internacional,Atletico-MG,-
8,30/06/2007,Parana,Athletico-PR,-
8,30/06/2007,Fluminense,Botafogo-RJ,Botafogo-RJ
8,30/06/2007,Corinthians,Palmeiras,Palmeiras
9,03/07/2007,Palmeiras,America-RN,Palmeiras
9,03/07/2007,Sao Paulo,Internacional,Sao Paulo
9,03/07/2007,Figueirense,Cruzeiro,Figueirense
9,03/07/2007,Gremio,Juventude,Gremio
9,03/07/2007,Athletico-PR,Nautico,-
9,03/07/2007,Fluminense,Parana,-
9,03/07/2007,Goias,Botafogo-RJ,-
9,04/07/2007,Sport,Corinthians,Sport
9,04/07/2007,Atletico-MG,Flamengo,-
9,04/07/2007,Vasco,Santos,Vasco
10,06/07/2007,Parana,America-RN,America-RN
10,07/07/2007,Santos,Cruzeiro,Santos
10,07/07/2007,Corinthians,Fluminense,-
10,07/07/2007,Atletico-MG,Gremio,Gremio
10,07/07/2007,Botafogo-RJ,Athletico-PR,Botafogo-RJ
10,07/07/2007,Goias,Sport,Goias
10,07/07/2007,Internacional,Figueirense,Internacional
10,07/07/2007,Nautico,Palmeiras,Palmeiras
10,07/07/2007,Juventude,Vasco,Juventude
29,07/07/2007,Sao Paulo,Flamengo,-
11,12/07/2007,Parana,Figueirense,Figueirense
11,12/07/2007,Juventude,Nautico,-
11,12/07/2007,Vasco,Athletico-PR,Vasco
11,14/07/2007,Santos,Botafogo-RJ,Santos
11,14/07/2007,Sport,Atletico-MG,Sport
11,14/07/2007,Gremio,Palmeiras,-
11,14/07/2007,Cruzeiro,Goias,Cruzeiro
11,14/07/2007,America-RN,Internacional,Internacional
11,14/07/2007,Corinthians,Sao Paulo,-
12,18/07/2007,Figueirense,Sport,Sport
12,18/07/2007,Atletico-MG,America-RN,Atletico-MG
12,18/07/2007,Athletico-PR,Juventude,Athletico-PR
12,18/07/2007,Internacional,Corinthians,Internacional
12,18/07/2007,Nautico,Cruzeiro,Cruzeiro
12,18/07/2007,Sao Paulo,Fluminense,Fluminense
12,19/07/2007,Flamengo,Parana,Parana
12,19/07/2007,Goias,Gremio,-
12,19/07/2007,Palmeiras,Santos,-
14,19/07/2007,Botafogo-RJ,Juventude,Botafogo-RJ
14,19/07/2007,Atletico-MG,Fluminense,Atletico-MG
14,19/07/2007,Sao Paulo,Sport,Sao Paulo
13,21/07/2007,Juventude,Internacional,Juventude
13,21/07/2007,America-RN,Athletico-PR,America-RN
13,21/07/2007,Vasco,Atletico-MG,Vasco
13,22/07/2007,Corinthians,Nautico,Nautico
13,22/07/2007,Fluminense,Goias,Fluminense
13,22/07/2007,Gremio,Flamengo,Gremio
13,22/07/2007,Cruzeiro,Sao Paulo,Sao Paulo
13,22/07/2007,Parana,Palmeiras,Parana
13,22/07/2007,Sport,Botafogo-RJ,-
13,22/07/2007,Santos,Figueirense,Santos
14,25/07/2007,Athletico-PR,Cruzeiro,-
14,25/07/2007,Goias,Santos,Goias
14,25/07/2007,Nautico,Gremio,Gremio
14,25/07/2007,Flamengo,America-RN,Flamengo
14,25/07/2007,Palmeiras,Vasco,Palmeiras
14,25/07/2007,Figueirense,Corinthians,-
14,25/07/2007,Internacional,Parana,Internacional
15,28/07/2007,Santos,Nautico,Nautico
15,28/07/2007,Vasco,Goias,Vasco
15,28/07/2007,Gremio,Athletico-PR,-
15,29/07/2007,Corinthians,Flamengo,-
15,29/07/2007,Parana,Atletico-MG,Atletico-MG
15,29/07/2007,Juventude,Palmeiras,-
15,29/07/2007,Sport,Internacional,Internacional
15,29/07/2007,Cruzeiro,Botafogo-RJ,Cruzeiro
